order_id,customer_id,product_category,product_name,quantity,unit_price,order_date,region,payment_method
1,7405,Home & Garden,Curtains,5,125.43,2024-04-14,South America,Credit Card
2,8708,Clothing,T-Shirt,5,24.74,2024-05-08,South America,Apple Pay
3,3514,Clothing,Jeans,3,286.66,2024-04-23,Africa,Google Pay
4,4215,Beauty,Face Mask,3,27.01,2024-04-01,Asia,Debit Card
5,4180,Food,Spice Set,1,9.35,2023-04-09,Asia,Google Pay
6,3003,Books,Cookbook,5,18.77,2023-03-12,Africa,Credit Card
7,5428,Toys,RC Car,3,22.75,2024-03-03,North America,Debit Card
8,7140,Clothing,Sneakers,1,289.65,2023-04-06,Oceania,PayPal
9,9529,Beauty,Perfume,2,117.49,2024-02-20,North America,Debit Card
10,4328,Clothing,T-Shirt,2,264.06,2024-05-28,South America,PayPal
11,3606,Sports,Tennis Racket,1,104.7,2023-05-30,Europe,PayPal
12,2664,Beauty,Nail Polish,2,66.98,2023-11-20,South America,Debit Card
13,1069,Sports,Gym Bag,5,100.52,2023-07-08,Oceania,Google Pay
14,6509,Sports,Gym Bag,3,55.21,2023-09-30,North America,Google Pay
15,8897,Books,Cookbook,3,35.17,2024-04-03,North America,PayPal
16,8873,Beauty,Body Lotion,4,25.41,2023-02-20,Africa,Google Pay
17,2781,Books,History,1,31.88,2024-10-01,South America,Google Pay
18,8901,Food,Coffee Beans,4,61.35,2024-10-01,North America,Debit Card
19,9095,Food,Spice Set,3,34.94,2024-08-08,Asia,Apple Pay
20,8002,Sports,Running Shoes,3,321.32,2024-05-05,Africa,Google Pay
21,4966,Electronics,Camera,4,1465.9,2023-01-28,South America,Apple Pay
22,1955,Electronics,Monitor,2,186.52,2023-04-19,Oceania,Google Pay
23,9373,Clothing,T-Shirt,2,38.88,2023-08-07,North America,PayPal
24,2480,Food,Pasta,4,62.79,2023-09-21,Europe,Apple Pay
25,1577,Food,Dark Chocolate,4,25.01,2024-07-12,Asia,Google Pay
26,7267,Toys,Action Figure,2,64.69,2024-01-14,Oceania,Google Pay
27,1574,Sports,Running Shoes,1,360.83,2024-06-05,Europe,PayPal
28,6241,Toys,Educational Game,5,19.78,2023-09-18,Europe,Debit Card
29,9831,Home & Garden,Coffee Maker,4,208.89,2024-03-28,Europe,Debit Card
30,9309,Clothing,Coat,1,102.86,2024-09-06,South America,Apple Pay
31,1898,Clothing,Sweater,2,237.69,2023-05-21,Europe,Google Pay
32,9974,Electronics,Headphones,4,549.04,2023-08-03,South America,PayPal
33,1986,Books,Science Fiction,3,28.05,2024-08-08,Asia,Debit Card
34,4160,Electronics,Laptop,1,1477.6,2024-05-10,Oceania,Google Pay
35,3309,Beauty,Moisturizer,1,49.6,2024-04-24,Asia,PayPal
36,6064,Home & Garden,Air Purifier,1,188.06,2024-02-12,South America,Google Pay
37,6359,Books,Biography,2,10.65,2024-07-27,Oceania,PayPal
38,4093,Books,Cookbook,1,40.06,2023-10-29,Asia,Google Pay
39,8067,Books,Novel,3,16.98,2023-09-03,Oceania,Debit Card
40,7647,Sports,Dumbbell Set,1,59.03,2024-08-09,Africa,Google Pay
41,9323,Food,Green Tea,3,43.63,2024-02-21,South America,Google Pay
42,1653,Clothing,Sneakers,2,106.14,2024-09-16,Europe,Google Pay
43,2113,Beauty,Eye Cream,1,141.44,2023-10-20,Asia,Google Pay
44,9095,Home & Garden,Blender,5,250.28,2024-03-17,North America,Credit Card
45,2937,Books,Mystery,2,38.08,2023-03-11,Asia,Apple Pay
46,8020,Electronics,Smartphone,4,579.84,2023-07-07,Asia,Credit Card
47,9134,Books,History,5,15.34,2023-09-12,Oceania,Google Pay
48,6461,Clothing,Sweater,5,63.76,2024-01-12,Oceania,PayPal
49,8347,Clothing,Shorts,1,185.81,2023-01-31,South America,Debit Card
50,6432,Electronics,Camera,4,150.03,2023-01-30,Africa,Apple Pay
51,1994,Food,Coffee Beans,3,36.06,2024-08-06,North America,Debit Card
52,5304,Electronics,Tablet,3,109.61,2024-05-12,Oceania,PayPal
53,1864,Sports,Running Shoes,2,315.64,2023-10-21,Asia,Apple Pay
54,2157,Electronics,Laptop,1,1417.78,2023-11-27,Oceania,Credit Card
55,1467,Books,Poetry,5,48.44,2024-10-01,Europe,PayPal
56,7967,Home & Garden,Vacuum Cleaner,4,254.54,2024-03-22,North America,Apple Pay
57,4891,Electronics,Smartphone,5,1607.22,2023-04-28,South America,Apple Pay
58,3088,Sports,Running Shoes,3,187.39,2023-04-15,Oceania,Apple Pay
59,2547,Sports,Swimming Goggles,5,256.42,2024-06-19,Asia,PayPal
60,6961,Toys,Doll,1,79.97,2024-07-07,Africa,Google Pay
61,5350,Clothing,Shorts,1,233.3,2023-04-24,South America,Apple Pay
62,5779,Food,Spice Set,5,49.31,2024-08-07,Asia,PayPal
63,4922,Beauty,Eye Cream,3,79.05,2024-06-27,Asia,Debit Card
64,9146,Sports,Bicycle,1,158.42,2023-06-07,Africa,PayPal
65,3270,Home & Garden,Curtains,2,148.4,2023-10-15,Asia,Apple Pay
66,7204,Toys,Plush Toy,3,120.02,2023-06-09,Africa,Apple Pay
67,5050,Sports,Running Shoes,1,444.88,2023-10-07,Asia,PayPal
68,5079,Clothing,T-Shirt,5,137.79,2024-04-04,South America,Google Pay
69,3268,Electronics,Monitor,3,725.11,2024-03-28,Oceania,Debit Card
70,8830,Toys,Board Game,2,36.73,2024-06-15,North America,Debit Card
71,2305,Electronics,Laptop,3,358.47,2024-08-21,South America,Credit Card
72,2598,Food,Coffee Beans,2,76.79,2023-01-13,North America,Credit Card
73,1302,Home & Garden,Toaster,1,207.77,2023-11-10,North America,Google Pay
74,3130,Books,Biography,4,44.16,2024-07-09,South America,PayPal
75,6458,Toys,Educational Game,3,142.57,2023-03-26,Europe,Google Pay
76,4202,Electronics,Monitor,2,1485.31,2024-02-06,Oceania,Credit Card
77,7898,Toys,Building Blocks,3,137.37,2023-01-25,Asia,Google Pay
78,7927,Clothing,Jeans,2,104.37,2023-06-09,Asia,PayPal
79,3381,Sports,Basketball,5,262.17,2023-04-23,Africa,Debit Card
80,3649,Home & Garden,Coffee Maker,4,383.43,2023-11-13,Europe,Credit Card
81,4931,Sports,Swimming Goggles,2,86.19,2023-11-29,North America,Apple Pay
82,2827,Beauty,Eye Cream,1,106.76,2023-12-07,Europe,Apple Pay
83,7743,Food,Olive Oil,1,63.05,2023-02-13,North America,PayPal
84,5423,Toys,Action Figure,2,63.26,2023-11-26,Africa,Apple Pay
85,3227,Home & Garden,Lamp,3,291.79,2024-01-28,Asia,Credit Card
86,8918,Toys,RC Car,5,110.79,2023-11-01,North America,Debit Card
87,5572,Sports,Swimming Goggles,5,74.08,2023-07-23,North America,Debit Card
88,5732,Electronics,Headphones,2,265.83,2023-04-15,Europe,Google Pay
89,4999,Home & Garden,Coffee Maker,1,241.15,2023-11-08,Europe,Debit Card
90,8256,Books,History,1,13.08,2023-02-14,South America,Debit Card
91,3429,Books,Biography,5,35.91,2023-10-12,Africa,Debit Card
92,3612,Toys,Plush Toy,1,141.19,2023-06-05,South America,PayPal
93,5710,Toys,Board Game,1,99.12,2023-07-20,Africa,Google Pay
94,2158,Books,Self-Help,4,26.15,2023-01-16,Africa,Credit Card
95,6369,Sports,Tennis Racket,5,239.47,2023-03-13,Asia,PayPal
96,2002,Books,Science Fiction,4,10.38,2024-09-28,Oceania,Credit Card
97,8806,Beauty,Body Lotion,2,29.95,2023-06-17,North America,Credit Card
98,1665,Toys,Plush Toy,2,50.97,2023-05-25,South America,Google Pay
99,5632,Toys,Building Blocks,1,70.45,2023-06-10,Asia,Apple Pay
100,1506,Beauty,Body Lotion,5,184.65,2023-04-10,South America,Debit Card
101,7447,Sports,Tennis Racket,3,125.6,2024-02-09,Oceania,Debit Card
102,3091,Food,Organic Honey,1,53.79,2024-05-05,South America,Google Pay
103,9890,Books,Mystery,5,46.11,2024-01-26,Europe,PayPal
104,8151,Toys,Puzzle,5,97.16,2023-07-23,Europe,Google Pay
105,2468,Food,Spice Set,2,48.91,2023-05-20,North America,PayPal
106,3289,Food,Coffee Beans,3,66.89,2023-07-05,Asia,PayPal
107,6086,Books,Novel,1,35.33,2023-06-26,Oceania,Google Pay
108,5074,Toys,Action Figure,5,77.77,2024-08-21,Oceania,Credit Card
109,5608,Electronics,Tablet,2,1291.07,2023-06-03,Africa,Google Pay
110,4907,Sports,Basketball,3,466.54,2023-12-21,North America,Debit Card
111,6493,Electronics,Smartphone,2,1995.64,2023-04-08,Africa,PayPal
112,3538,Beauty,Eye Cream,5,77.55,2024-07-06,Oceania,PayPal
113,7866,Home & Garden,Curtains,4,133.81,2024-03-14,Africa,Apple Pay
114,8036,Food,Olive Oil,2,45.24,2024-03-01,South America,PayPal
115,1700,Sports,Bicycle,2,160.64,2023-10-30,South America,Apple Pay
116,1353,Sports,Running Shoes,4,240.52,2024-02-06,Europe,PayPal
117,1851,Electronics,Laptop,5,517.58,2024-06-29,Oceania,Debit Card
118,6700,Home & Garden,Air Purifier,4,194.9,2023-01-31,North America,Apple Pay
119,3997,Books,Self-Help,3,25.19,2023-05-25,Africa,Apple Pay
120,8751,Clothing,Jacket,3,149.33,2024-06-16,Asia,PayPal
121,1340,Home & Garden,Toaster,4,272.07,2023-06-18,South America,PayPal
122,4990,Clothing,Shorts,1,210.21,2023-10-24,Europe,Google Pay
123,8364,Electronics,Smart Watch,3,1623.38,2024-04-24,South America,Apple Pay
124,6778,Food,Organic Honey,1,53.0,2023-08-30,South America,Google Pay
125,5359,Clothing,Shorts,5,279.1,2023-11-09,North America,Credit Card
126,6220,Toys,Doll,3,80.64,2024-03-25,Oceania,PayPal
127,6040,Electronics,Headphones,4,1006.13,2024-08-02,Oceania,Debit Card
128,5859,Sports,Basketball,3,443.13,2024-02-21,Asia,Google Pay
129,2298,Sports,Yoga Mat,4,137.41,2023-02-04,Europe,Apple Pay
130,2016,Clothing,Coat,4,200.48,2023-08-23,Oceania,Credit Card
131,3139,Toys,Doll,4,23.37,2024-08-19,Oceania,Google Pay
132,8042,Electronics,Monitor,3,215.4,2024-04-12,South America,Apple Pay
133,7442,Home & Garden,Rug,4,302.94,2023-03-17,Asia,Apple Pay
134,8081,Home & Garden,Coffee Maker,3,30.71,2023-09-02,Asia,Debit Card
135,6891,Toys,Puzzle,1,111.08,2024-04-30,South America,Credit Card
136,7168,Clothing,Shorts,3,38.04,2023-10-07,North America,Apple Pay
137,2200,Home & Garden,Blender,3,374.83,2024-05-11,Africa,Google Pay
138,1357,Beauty,Perfume,5,152.12,2024-07-21,South America,Apple Pay
139,4793,Food,Pasta,5,7.4,2024-09-03,Africa,Credit Card
140,7568,Books,Cookbook,1,12.85,2024-09-24,Oceania,PayPal
141,2916,Food,Pasta,1,62.74,2024-01-01,Asia,Apple Pay
142,3414,Beauty,Moisturizer,4,65.94,2023-09-07,Asia,Debit Card
143,2665,Home & Garden,Air Purifier,1,267.74,2023-03-27,Asia,Debit Card
